Dim: 1000 Random Init
MEET, 		172626432.5471924
Rand 5, 	172067489.83642977
Rand 50, 	174391746.28834444
Rand 100, 	173221772.72025704
Rand 200, 	169811378.31488168
Rand 500, 	168065699.38773474
Rand 1000, 	168268366.8919303
Rand 2000, 	177359018.37096977
Rand 5000, 	181083143.7935566
Rand 10000, 	170034130.99202996
ODG, 		747243435.5036103
DG, 		146059989.64706653
Dim: 1000 Random Init
MEET, 		54709850.09204081
Rand 5, 	55233581.921985894
Rand 50, 	56042973.538968615
Rand 100, 	57030176.27519376
Rand 200, 	60587951.35338447
Rand 500, 	58908244.44757915
Rand 1000, 	54639806.488606066
Rand 2000, 	55266533.31096925
Rand 5000, 	56957617.02103182
Rand 10000, 	56041978.82745437
ODG, 		178099727.29142126
DG, 		187456412.0685036
Dim: 1000 Random Init
MEET, 		154904211.95800737
Rand 5, 	151189935.6191498
Rand 50, 	147192608.2180662
Rand 100, 	147973728.0246966
Rand 200, 	150510186.8969417
Rand 500, 	143889041.31730396
Rand 1000, 	149065652.1614048
Rand 2000, 	146762063.4743931
Rand 5000, 	151781443.49888697
Rand 10000, 	151390772.28318402
ODG, 		610377718.2591977
DG, 		374509696.9092533
Dim: 1000 Random Init
MEET, 		189607929.32181105
Rand 5, 	187061651.7990487
Rand 50, 	187100392.2609188
Rand 100, 	189682772.11501276
Rand 200, 	185217359.18837813
Rand 500, 	194735534.0711707
Rand 1000, 	187391408.79418823
Rand 2000, 	192407686.42354956
Rand 5000, 	190717440.75844476
Rand 10000, 	188875740.0600891
ODG, 		444438459.41062236
DG, 		249170729.19206548
Dim: 1000 Random Init
MEET, 		276949114.14689493
Rand 5, 	294207412.1320415
Rand 50, 	292124438.26311713
Rand 100, 	299288858.0829216
Rand 200, 	299090103.94286364
Rand 500, 	299202633.2617316
Rand 1000, 	297852099.2636204
Rand 2000, 	293970970.50988954
Rand 5000, 	290804701.4728648
Rand 10000, 	282928415.5654203
ODG, 		344729312.0620083
DG, 		300840351.00779355
Dim: 1000 Random Init
MEET, 		129881703.9756315
Rand 5, 	131651241.53352578
Rand 50, 	135254256.80908442
Rand 100, 	134157223.60372159
Rand 200, 	134568011.3999044
Rand 500, 	131922354.82167849
Rand 1000, 	134449753.63741913
Rand 2000, 	131568125.94268921
Rand 5000, 	134711983.82711726
Rand 10000, 	133943518.39207318
ODG, 		270485931.8995962
DG, 		198722298.82153615
Dim: 1000 Random Init
MEET, 		154323008.27668613
Rand 5, 	159012844.86395502
Rand 50, 	160064128.03269875
Rand 100, 	165369236.85198054
Rand 200, 	152875614.7727589
Rand 500, 	156149394.66202936
Rand 1000, 	154719954.13980812
Rand 2000, 	165359503.29190525
Rand 5000, 	153006670.44834185
Rand 10000, 	155444642.06845084
ODG, 		218328870.70985168
DG, 		358549995.81638527
Dim: 1000 Random Init
MEET, 		126668023.24813023
Rand 5, 	127094959.55492052
Rand 50, 	122202539.56714053
Rand 100, 	125527721.41338848
Rand 200, 	128427460.17626806
Rand 500, 	127527963.06566696
Rand 1000, 	128695535.6527676
Rand 2000, 	127892892.37037665
Rand 5000, 	125926477.45443514
Rand 10000, 	130764220.03645733
ODG, 		525409617.0528746
DG, 		182301334.8789094
Dim: 1000 Random Init
MEET, 		152693979.60358328
Rand 5, 	165360946.6337208
Rand 50, 	179577683.75382394
Rand 100, 	160770932.91074193
Rand 200, 	157645021.049608
Rand 500, 	171551629.6671176
Rand 1000, 	157317056.46026984
Rand 2000, 	162994103.8636094
Rand 5000, 	151792697.2696839
Rand 10000, 	155671860.40062308
ODG, 		635173234.5941672
DG, 		181549817.71429121
Dim: 1000 Random Init
MEET, 		154191279.44005755
Rand 5, 	141470118.06632036
Rand 50, 	167787579.2432311
Rand 100, 	148985775.4567414
Rand 200, 	149034727.46895736
Rand 500, 	149109964.91856176
Rand 1000, 	145861224.78112516
Rand 2000, 	149600051.16829824
Rand 5000, 	146940176.0884392
Rand 10000, 	148471049.2730596
ODG, 		493398083.197676
DG, 		150884754.05420402
Dim: 1000 Random Init
MEET, 		94309483.35480312
Rand 5, 	95480842.35182725
Rand 50, 	97663946.66969357
Rand 100, 	91441408.31123011
Rand 200, 	98476165.26508799
Rand 500, 	92653499.5432996
Rand 1000, 	96669825.41501251
Rand 2000, 	92805017.53437704
Rand 5000, 	94404053.03320187
Rand 10000, 	90867945.87123193
ODG, 		1044319927.8441553
DG, 		161728522.2284545
Dim: 1000 Random Init
MEET, 		127864892.99415487
Rand 5, 	111273476.95292947
Rand 50, 	119739239.29598378
Rand 100, 	111928146.90161854
Rand 200, 	114141324.88165078
Rand 500, 	113614015.32775468
Rand 1000, 	117648925.95932749
Rand 2000, 	114675991.92371008
Rand 5000, 	120223362.84673128
Rand 10000, 	118400662.62552571
ODG, 		102434745.638968
DG, 		419582282.00203013
Dim: 1000 Random Init
MEET, 		210601013.10942918
Rand 5, 	221218796.5275263
Rand 50, 	225108153.83158815
Rand 100, 	220085462.6047905
Rand 200, 	217369718.45223227
Rand 500, 	215230136.89083573
Rand 1000, 	220999374.764466
Rand 2000, 	219556148.76885563
Rand 5000, 	224802551.78234753
Rand 10000, 	208988716.5909741
ODG, 		718950042.5324333
DG, 		225146985.26888508
