DG,ODG,MEET,Rand 5,Rand 50,Rand 100,Rand 200,Rand 500,Rand 1000,Rand 2000,Rand 5000,Rand 10000
235.2238480768606,222.69286147965337,226.19214532271457,228.73122463857783,228.05410845807637,229.10395169771456,228.46952886255144,228.7440493716197,228.3467257489199,227.7257511037804,227.61408774612926,228.53845987481324
235.71656603712577,223.01776781090848,225.7553093399886,228.49197135387476,228.45975523429598,229.01230005741715,228.4752397427786,228.81290058501617,228.501706874065,228.31203484179912,228.80007644099595,228.5679308816015
235.69202469046877,222.74903006191204,225.58466340379644,229.00066607988236,227.97936640025983,229.112612133943,228.1884595038155,228.17131952699287,228.36194741543045,228.60913652425256,228.74329874862073,227.69308518880158
235.37552504427566,223.11634855736415,225.87901825730688,228.52893319788572,228.2809539199265,228.66941844841506,227.94427282427205,227.92698155786348,227.8349420244507,228.65624100703894,228.3485863741558,228.4835420982901
235.58349257893877,223.05408098165503,225.79770467156732,228.2133628353619,227.93474434019345,227.81022049377057,228.66146401053882,228.84732771433085,228.0915851047174,228.66704430718048,228.2584408118116,227.91653136326468
235.61802205254824,222.19965786427252,225.08018106602378,228.79466329333363,227.4595763655116,228.36596575056288,228.17948646295304,228.2165722031996,228.4098642384979,228.27728731501975,228.33810286113135,228.9711099226495
235.79696889650947,222.82384375596706,225.5725228866181,227.67999960659398,228.83204716712538,228.1232992538517,228.3115817088457,227.98171529441044,228.55038892955082,228.9796347069152,228.2996104699048,227.793029097662
235.1800071594156,222.8793242812652,226.1760422479188,228.69832462389817,228.01055379153775,227.84076521789783,228.4141966996352,227.67986032266654,229.34731283243332,228.9898136898697,228.64601260005585,228.52775313276385
235.00497149566027,222.70305478633313,226.26961695520816,228.5999455286604,228.56577033213108,229.10319435908247,228.18482890631444,228.88909946826297,227.8177053861066,228.57931615462127,227.82744497669145,228.4404897640544
235.41603874241142,222.70749826789174,226.23378579201992,228.1322457772898,228.2578447288302,227.78253982458824,228.74185240287756,227.91174463069538,227.81161575126026,228.2563256081341,228.0609508183271,227.67993174643777
235.5176052034859,222.60167955233766,225.32997607505948,228.688635168807,228.09179817888725,228.93792614635535,228.79569690254453,227.22077308233224,229.40621721128701,228.18712204097136,227.74103018387063,228.799456863652
235.50277841773922,223.01823091290544,225.85607508936732,228.23404891027383,228.0584959065394,228.36444189839582,229.1248023825651,227.62323943879926,228.12429608032815,227.5552754527297,228.66482896546984,228.02255275965717
235.36921014314834,222.44394719708748,226.0816775293639,228.3829464907712,228.2809376271998,228.71473347080132,228.7663047983319,228.93856564877663,228.2529027863808,228.4584036070379,228.43742540181842,229.718998240199
235.78172515467978,223.1735076679161,225.64750720984733,227.72690913050337,227.7002479818271,227.75835176467066,227.69660234287778,227.865837856247,228.1794588381089,228.37851540945908,229.40679300877397,229.60959037938682
235.0786919149257,222.78670205353853,225.31776844771542,227.99831239900408,227.75114473850417,228.76424279396548,228.51286399665702,229.09466114950587,228.66880024215547,229.5639866844001,228.7388192936276,228.67343770377195
