Dim: 1000 Random Init
MEET, 		7637939.169384064
Rand 5, 	6152635.020671208
Rand 50, 	5707338.852614152
Rand 100, 	6119392.259606313
Rand 200, 	5862991.289844817
Rand 500, 	6339679.248740094
Rand 1000, 	6150498.498142963
Rand 2000, 	6735798.8929562485
Rand 5000, 	6271797.230328312
Rand 10000, 	6937792.594875416
ODG, 		4314467.86359165
DG, 		12159311.892768027
Dim: 1000 Random Init
MEET, 		5829096.720815584
Rand 5, 	5623257.914703419
Rand 50, 	5651994.022629048
Rand 100, 	6040243.652515937
Rand 200, 	6360438.59549316
Rand 500, 	5839555.699042126
Rand 1000, 	6136789.629367776
Rand 2000, 	6633419.28198425
Rand 5000, 	5838320.946998219
Rand 10000, 	5902761.754670572
ODG, 		4135521.848162275
DG, 		10402389.966052275
Dim: 1000 Random Init
MEET, 		5532095.8601069
Rand 5, 	5346094.205934952
Rand 50, 	5295669.727313394
Rand 100, 	5254722.351523994
Rand 200, 	5254107.64132774
Rand 500, 	5304954.64273959
Rand 1000, 	4998699.171247686
Rand 2000, 	5261502.901801088
Rand 5000, 	5143187.701294333
Rand 10000, 	5771952.275365638
ODG, 		3610649.114369364
DG, 		9447935.145185525
Dim: 1000 Random Init
MEET, 		6042541.300724744
Rand 5, 	5923797.281175193
Rand 50, 	5240027.720231732
Rand 100, 	6604550.011298631
Rand 200, 	6002761.39071279
Rand 500, 	6119500.119513494
Rand 1000, 	6135391.903307678
Rand 2000, 	5846392.730774006
Rand 5000, 	5991881.665006259
Rand 10000, 	6056750.662852607
ODG, 		4106212.3476752685
DG, 		12205128.769634632
Dim: 1000 Random Init
MEET, 		6544273.60706822
Rand 5, 	5570625.59350371
Rand 50, 	6100309.5966652995
Rand 100, 	5778792.229313789
Rand 200, 	5392545.543655733
Rand 500, 	7238941.019523255
Rand 1000, 	5977887.852441974
Rand 2000, 	5710693.9118650565
Rand 5000, 	5811613.842050262
Rand 10000, 	6020871.9031173345
ODG, 		4240443.5848700525
DG, 		12350567.3355349
Dim: 1000 Random Init
MEET, 		6331591.815518526
Rand 5, 	5830095.025872515
Rand 50, 	6454954.155540974
Rand 100, 	6157715.236197907
Rand 200, 	6394577.899974257
Rand 500, 	6944088.360728895
Rand 1000, 	5992761.790736946
Rand 2000, 	6243324.97954815
Rand 5000, 	6316105.732745523
Rand 10000, 	6327346.042425844
ODG, 		4217551.438044032
DG, 		9175178.739644222
Dim: 1000 Random Init
MEET, 		6509907.537870499
Rand 5, 	5738445.435815323
Rand 50, 	6105430.248702395
Rand 100, 	6336555.582868074
Rand 200, 	6168380.964089716
Rand 500, 	6093139.178363692
Rand 1000, 	6137572.683370949
Rand 2000, 	5910841.478229141
Rand 5000, 	5997950.52225828
Rand 10000, 	6778415.292072775
ODG, 		4623020.1103821695
DG, 		9917601.626890894
Dim: 1000 Random Init
MEET, 		6550907.714560351
